Removal_Reason,State,ABO,To_Date,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995
All Removal Reason,Pennsylvania,O,"18,467",907,"1,085","1,103","1,074","1,095","1,091","1,037",935,930,833,923,907,857,800,844,755,748,744,701,622,710,526,541,532,544,486
All Removal Reason,Pennsylvania,A,"14,216",693,815,793,821,821,787,706,768,689,688,712,663,698,638,669,583,555,523,540,515,501,480,428,477,440,389
All Removal Reason,Pennsylvania,B,"6,123",276,341,334,401,344,359,328,339,328,309,333,304,315,273,262,249,220,258,202,186,194,195,200,158,165,157
All Removal Reason,Pennsylvania,AB,"1,735",94,108,74,98,100,96,86,97,88,92,82,81,63,78,86,64,55,53,72,59,68,59,52,51,50,69
All Removal Reason,Puerto Rico,All ABO,"3,427",110,157,234,173,228,206,181,161,178,163,157,169,214,167,115,153,121,106,112,108,85,76,90,35,41,34
All Removal Reason,Puerto Rico,O,"1,883",55,85,139,83,107,111,109,94,93,97,81,91,115,92,65,94,65,59,64,65,47,47,46,16,23,14
All Removal Reason,Puerto Rico,A,"1,153",45,54,69,62,89,69,66,46,69,44,50,65,73,59,39,38,43,30,38,31,28,23,39,14,12,13
All Removal Reason,Puerto Rico,B,318,9,17,24,21,26,21,5,18,13,19,21,10,20,11,10,17,10,12,8,11,9,4,3,4,6,5
All Removal Reason,Puerto Rico,AB,73,1,1,2,7,6,5,1,3,3,3,5,3,6,5,1,4,3,5,2,1,1,2,2,1,0,2
All Removal Reason,Rhode Island,All ABO,"1,632",72,106,110,77,87,77,84,59,92,66,69,72,58,57,62,74,72,84,89,92,70,61,52,40,0,0
All Removal Reason,Rhode Island,O,762,40,53,47,32,34,33,41,24,40,32,38,37,33,20,29,32,30,38,49,55,29,26,25,18,0,0
All Removal Reason,Rhode Island,A,599,16,36,44,32,38,37,33,22,38,23,21,25,14,21,24,24,30,38,21,21,32,28,18,19,0,0
All Removal Reason,Rhode Island,B,209,12,9,15,11,13,7,6,8,11,10,6,7,10,12,4,16,9,5,16,11,9,6,6,2,0,0
All Removal Reason,Rhode Island,AB,62,4,8,4,2,2,0,4,5,3,1,4,3,1,4,5,2,3,3,3,5,0,1,3,1,0,0
All Removal Reason,South Carolina,All ABO,"6,459",457,487,407,406,300,323,327,279,258,345,270,235,227,258,230,235,213,189,203,218,225,201,162,185,173,122
All Removal Reason,South Carolina,O,"3,091",210,246,189,174,151,158,166,133,108,162,130,119,99,125,107,127,102,84,102,122,110,92,77,97,79,43
All Removal Reason,South Carolina,A,"2,001",139,151,129,126,92,104,96,92,90,106,88,67,83,72,73,67,70,63,56,56,71,45,47,55,60,58
All Removal Reason,South Carolina,B,"1,101",83,72,67,82,42,50,57,42,50,63,44,46,35,53,41,31,34,35,38,35,33,54,35,28,21,16
All Removal Reason,South Carolina,AB,266,25,18,22,24,15,11,8,12,10,14,8,3,10,8,9,10,7,7,7,5,11,10,3,5,13,5
All Removal Reason,South Dakota,All ABO,"1,728",118,119,108,105,115,140,99,78,83,88,79,84,75,63,53,75,68,61,51,33,43,44,36,22,18,13
All Removal Reason,South Dakota,O,842,53,58,48,55,56,64,49,41,37,40,42,36,38,34,22,36,35,32,27,16,24,28,18,11,11,2
All Removal Reason,South Dakota,A,661,48,49,39,36,44,54,44,26,35,37,23,39,34,23,22,27,22,19,17,16,16,11,12,6,6,9
All Removal Reason,South Dakota,B,161,13,10,12,10,12,15,3,10,10,8,12,6,2,5,6,8,4,7,5,1,3,3,1,4,1,1
All Removal Reason,South Dakota,AB,64,4,2,9,4,3,7,3,1,1,3,2,3,1,1,3,4,7,3,2,0,0,2,5,1,0,1
All Removal Reason,Tennessee,All ABO,"15,455","1,100","1,144","1,042",979,979,937,862,808,738,727,599,707,588,608,618,536,545,458,517,434,400,321,354,327,322,350
All Removal Reason,Tennessee,O,"7,482",556,572,484,456,453,443,420,417,353,368,275,353,298,288,289,253,243,224,260,214,193,135,181,158,155,198
All Removal Reason,Tennessee,A,"5,183",348,380,335,343,319,306,286,240,247,242,215,248,198,217,217,184,205,159,166,155,135,122,114,109,121,95
All Removal Reason,Tennessee,B,"2,165",152,151,178,138,173,143,119,111,110,86,81,83,73,86,83,73,70,59,67,49,63,48,43,45,40,46
All Removal Reason,Tennessee,AB,629,44,41,45,42,34,45,37,40,28,31,28,23,19,17,29,26,27,16,24,16,9,16,16,15,6,11
All Removal Reason,Texas,All ABO,"50,129","3,464","3,787","3,639","3,674","3,487","3,348","2,889","2,706","2,736","2,487","2,602","2,239","2,260","1,944","1,782","1,681","1,581","1,598","1,559","1,260","1,213","1,167","1,016",917,905,872
All Removal Reason,Texas,O,"26,170","1,791","1,972","1,873","1,976","1,849","1,775","1,530","1,442","1,443","1,328","1,386","1,168","1,153","1,037",942,901,807,840,778,660,624,603,545,481,440,447
All Removal Reason,Texas,A,"15,919","1,037","1,153","1,129","1,105","1,141","1,014",931,858,877,796,814,743,701,614,548,492,506,510,512,408,391,368,322,281,322,304
All Removal Reason,Texas,B,"6,449",523,540,510,482,406,448,343,324,342,282,315,261,344,233,244,233,213,192,208,149,163,147,117,126,117,99
All Removal Reason,Texas,AB,"1,601",113,122,127,111,91,111,85,82,74,81,87,67,62,60,48,55,55,56,61,43,35,49,32,28,26,22
All Removal Reason,Texas,Unknown,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
All Removal Reason,Utah,All ABO,"4,225",324,336,306,316,298,292,271,274,192,179,134,135,108,122,128,98,139,123,99,88,100,115,103,89,102,111
All Removal Reason,Utah,O,"2,018",154,161,150,151,138,142,139,136,78,67,57,64,47,65,67,57,68,63,51,35,51,59,46,44,38,62
All Removal Reason,Utah,A,"1,636",126,135,107,122,116,109,96,108,85,86,57,53,42,44,43,31,55,39,39,41,39,39,43,32,53,38
All Removal Reason,Utah,B,428,37,28,38,31,35,28,27,25,23,19,16,13,15,10,13,7,13,16,7,8,9,12,10,11,8,5
All Removal Reason,Utah,AB,144,7,12,12,12,9,13,9,5,6,7,4,5,4,3,5,3,3,5,2,4,1,5,4,2,3,6
All Removal Reason,Vermont,All ABO,816,20,40,29,40,38,34,65,40,34,39,47,47,53,40,53,29,31,24,14,17,21,23,29,21,28,23
All Removal Reason,Vermont,O,342,11,22,8,21,21,16,32,15,10,13,20,18,21,16,22,13,10,9,7,11,10,10,10,8,12,9
All Removal Reason,Vermont,A,345,5,13,18,15,11,13,23,18,16,20,17,21,25,18,22,13,16,11,4,5,8,9,12,12,13,10
All Removal Reason,Vermont,B,101,4,4,2,2,5,5,7,5,6,6,6,8,3,5,9,2,3,4,3,1,2,4,5,1,3,1
All Removal Reason,Vermont,AB,28,0,1,1,2,1,0,3,2,2,0,4,0,4,1,0,1,2,0,0,0,1,0,2,0,0,3
All Removal Reason,Virginia,All ABO,"16,109",930,"1,128",950,970,896,971,813,784,813,788,720,746,766,767,717,706,566,564,523,508,461,438,350,411,322,281
All Removal Reason,Virginia,O,"7,578",445,554,424,456,422,491,390,386,365,366,340,348,360,344,332,335,276,259,235,235,242,208,166,177,155,118
All Removal Reason,Virginia,A,"5,347",307,355,299,302,303,286,269,235,290,246,232,246,268,273,257,235,181,193,188,178,135,145,115,146,110,105
All Removal Reason,Virginia,B,"2,519",141,171,178,173,140,156,120,125,120,137,120,117,109,120,96,111,87,94,85,76,66,64,54,71,42,41
All Removal Reason,Virginia,AB,667,37,48,49,39,31,38,34,38,38,39,28,35,29,30,32,25,22,18,15,19,18,21,15,17,15,17
All Removal Reason,Washington,All ABO,"10,869",560,700,754,705,628,537,626,521,519,478,490,453,424,412,348,390,396,403,330,323,367,323,320,279,252,230
All Removal Reason,Washington,O,"4,990",264,299,354,327,310,246,300,224,229,207,238,205,184,188,153,200,186,184,160,151,164,172,134,121,105,116
All Removal Reason,Washington,A,"4,022",189,279,269,249,218,185,240,210,187,183,179,159,162,159,135,129,144,143,120,121,149,97,130,114,125,73
All Removal Reason,Washington,B,"1,426",93,98,98,95,83,78,67,73,76,65,53,70,55,45,48,51,49,57,33,43,38,45,45,36,16,33
All Removal Reason,Washington,AB,432,14,24,33,34,17,28,19,14,27,23,20,19,23,20,12,10,17,19,17,8,16,9,11,8,6,8
All Removal Reason,West Virginia,All ABO,"1,803",118,116,100,65,54,53,67,69,58,81,76,71,77,76,80,59,57,69,66,53,62,82,81,84,75,47
All Removal Reason,West Virginia,O,853,44,48,58,35,28,22,28,41,29,37,35,36,39,41,34,25,18,28,25,26,35,43,44,39,43,17
All Removal Reason,West Virginia,A,725,57,54,30,22,23,19,31,18,23,34,24,26,31,26,37,25,33,26,30,23,12,36,27,40,27,24
All Removal Reason,West Virginia,B,172,14,9,10,6,1,10,6,7,6,6,16,8,4,7,6,8,3,12,9,3,13,2,7,3,5,4
All Removal Reason,West Virginia,AB,53,3,5,2,2,2,2,2,3,0,4,1,1,3,2,3,1,3,3,2,1,2,1,3,2,0,2
All Removal Reason,Wisconsin,All ABO,"14,080",684,707,743,804,752,715,646,621,579,574,525,554,656,595,611,620,570,565,603,545,518,510,442,432,423,427
All Removal Reason,Wisconsin,O,"6,311",314,291,347,367,345,334,281,287,251,253,235,239,289,279,281,280,254,262,278,259,228,226,195,192,174,188
All Removal Reason,Wisconsin,A,"5,149",248,258,258,287,267,247,254,229,200,200,193,218,241,219,196,218,218,197,219,170,198,189,175,182,183,159
All Removal Reason,Wisconsin,B,"2,003",102,129,110,113,102,89,87,75,98,99,74,74,97,67,103,96,76,80,85,93,74,61,61,38,48,57
All Removal Reason,Wisconsin,AB,619,20,29,28,37,38,45,24,30,30,22,23,23,29,30,31,26,22,26,21,23,18,34,11,20,18,23
Deceased Donor Transplant,All Center States,All ABO,"262,719","16,163","16,518","14,714","14,022","13,418","12,236","11,559","11,152","10,850","11,026","10,600","10,430","10,527","10,572","10,600","9,864","9,293","8,602","8,453","8,168","8,040","7,993","7,991","7,728","7,659","7,636"
Deceased Donor Transplant,All Center States,O,"118,904","7,462","7,612","6,683","6,500","6,096","5,662","5,242","5,121","4,892","5,050","4,878","4,722","4,653","4,897","4,772","4,440","4,235","3,983","3,729","3,585","3,561","3,422","3,534","3,400","3,361","3,426"
Deceased Donor Transplant,All Center States,A,"95,382","5,626","5,742","5,091","4,895","4,834","4,248","4,224","4,026","3,915","3,964","3,714","3,810","3,866","3,772","3,847","3,636","3,396","3,178","3,245","3,155","3,105","3,067","3,078","2,981","3,040","2,915"
Deceased Donor Transplant,All Center States,B,"34,722","2,264","2,278","2,168","1,898","1,860","1,599","1,522","1,423","1,430","1,420","1,422","1,347","1,474","1,326","1,407","1,258","1,225","1,015","1,025",981,957,"1,037",998,958,836,896
Deceased Donor Transplant,All Center States,AB,"13,723",811,886,772,729,628,727,571,582,613,592,586,551,534,577,574,530,437,426,454,447,417,467,381,389,422,399
Deceased Donor Transplant,Alabama,All ABO,"4,243",266,217,185,210,141,144,139,123,123,143,158,133,160,173,150,154,115,147,153,155,212,171,182,172,201,214
Deceased Donor Transplant,Alabama,O,"1,932",118,102,78,107,52,55,67,46,58,72,77,68,68,91,66,61,53,82,65,58,93,68,87,87,101,98
Deceased Donor Transplant,Alabama,A,"1,529",102,70,76,64,50,59,44,49,39,39,56,45,65,55,61,59,35,38,64,64,80,64,69,61,71,84
Deceased Donor Transplant,Alabama,B,552,38,30,24,26,25,20,25,20,17,26,22,11,16,19,16,20,20,15,16,25,29,31,18,8,17,28
Deceased Donor Transplant,Alabama,AB,230,8,15,7,13,14,10,3,8,9,6,3,9,11,8,7,14,7,12,8,8,10,8,8,16,12,4
Deceased Donor Transplant,Arizona,All ABO,"5,966",501,583,494,503,498,381,302,326,228,249,184,182,187,179,143,146,131,102,111,98,88,110,123,87,106,101
Deceased Donor Transplant,Arizona,O,"2,851",230,244,256,271,221,200,136,135,100,120,86,90,83,97,67,67,65,44,58,51,41,51,68,48,55,51
Deceased Donor Transplant,Arizona,A,"2,198",196,226,152,157,198,126,131,136,86,87,71,65,71,61,62,59,51,41,42,35,34,35,38,33,41,34
Deceased Donor Transplant,Arizona,B,661,53,86,57,56,61,39,25,41,27,27,23,21,26,12,5,17,9,15,8,10,7,13,12,6,5,14
Deceased Donor Transplant,Arizona,AB,256,22,27,29,19,18,16,10,14,15,15,4,6,7,9,9,3,6,2,3,2,6,11,5,0,5,2
Deceased Donor Transplant,Arkansas,All ABO,"1,965",140,165,114,71,79,66,57,73,86,85,85,84,71,97,99,94,82,56,61,40,41,43,49,64,57,54
Deceased Donor Transplant,Arkansas,O,957,87,94,53,33,35,38,24,37,39,47,26,25,39,48,58,45,43,26,18,15,19,20,22,27,29,31
Deceased Donor Transplant,Arkansas,A,693,38,52,37,27,30,24,23,25,30,27,38,45,24,31,20,36,25,24,30,23,16,13,16,29,17,16
Deceased Donor Transplant,Arkansas,B,237,12,13,19,9,10,2,5,7,16,9,14,8,6,15,18,12,13,4,10,1,6,7,8,6,6,4
Deceased Donor Transplant,Arkansas,AB,78,3,6,5,2,4,2,5,4,1,2,7,6,2,3,3,1,1,2,3,1,0,3,3,2,5,3
Deceased Donor Transplant,California,All ABO,"31,615","1,847","1,927","1,822","1,677","1,677","1,506","1,442","1,434","1,439","1,392","1,207","1,106","1,217","1,222","1,282","1,143","1,205","1,101","1,021",931,899,867,931,899,885,885
Deceased Donor Transplant,California,O,"14,761",861,932,885,790,829,748,655,668,653,610,572,552,580,573,605,529,554,537,438,412,396,378,428,434,395,371
Deceased Donor Transplant,California,A,"10,842",593,616,580,566,561,486,516,500,493,533,388,371,392,400,441,408,410,375,379,365,350,316,341,294,333,333
Deceased Donor Transplant,California,B,"4,370",289,295,266,240,211,171,195,187,212,184,158,121,180,177,178,145,191,140,154,105,112,126,129,121,111,112
Deceased Donor Transplant,California,AB,"1,643",104,84,91,81,76,101,76,79,81,65,89,62,65,72,58,61,50,49,50,49,41,47,33,50,46,69
Deceased Donor Transplant,Colorado,All ABO,"3,425",228,224,206,205,163,142,138,189,148,159,171,144,112,101,120,136,129,118,103,86,89,94,74,89,82,100
Deceased Donor Transplant,Colorado,O,"1,483",95,97,107,105,49,64,44,80,69,71,85,62,45,39,50,56,77,57,39,30,31,39,35,32,35,49
Deceased Donor Transplant,Colorado,A,"1,330",87,79,63,76,84,55,56,70,52,58,58,52,45,42,51,56,35,40,48,45,40,46,26,41,39,39
Deceased Donor Transplant,Colorado,B,432,34,38,26,18,23,14,27,30,17,20,21,14,17,16,13,17,13,13,12,3,11,8,12,9,6,10
Deceased Donor Transplant,Colorado,AB,180,12,10,10,6,7,9,11,9,10,10,7,16,5,4,6,7,4,8,4,8,7,1,1,7,2,2
Deceased Donor Transplant,Connecticut,All ABO,"2,296",172,159,171,111,137,87,93,85,92,87,103,72,98,69,77,81,73,71,81,54,59,54,57,73,72,70
Deceased Donor Transplant,Connecticut,O,"1,010",75,71,90,55,62,42,42,33,43,30,42,28,41,29,35,37,33,29,30,26,25,24,26,21,30,37
Deceased Donor Transplant,Connecticut,A,812,52,52,58,40,41,29,35,33,30,33,42,30,34,25,28,27,26,27,32,17,20,20,14,38,32,19
Deceased Donor Transplant,Connecticut,B,344,37,28,16,11,26,13,14,16,12,15,15,9,14,9,12,11,12,11,12,3,9,8,11,12,7,11
Deceased Donor Transplant,Connecticut,AB,130,8,8,7,5,8,3,2,3,7,9,4,5,9,6,2,6,2,4,7,8,5,2,6,2,3,3
Deceased Donor Transplant,Delaware,All ABO,334,19,20,31,23,26,23,26,41,28,25,18,12,13,11,2,3,2,2,0,3,3,0,0,3,1,1
Deceased Donor Transplant,Delaware,O,141,8,7,14,11,12,10,8,21,11,10,7,7,6,4,0,1,0,0,0,0,2,0,0,2,0,0
Deceased Donor Transplant,Delaware,A,127,6,12,10,5,7,10,15,14,11,11,8,3,5,4,1,1,1,1,0,1,1,0,0,0,1,0
Deceased Donor Transplant,Delaware,B,52,4,1,6,7,4,3,3,6,3,3,2,1,0,3,1,1,0,1,0,2,0,0,0,1,0,1
Deceased Donor Transplant,Delaware,AB,14,1,0,1,0,3,0,0,0,3,1,1,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0
Deceased Donor Transplant,District of Columbia,All ABO,"3,251",254,246,188,199,222,186,129,152,122,120,120,127,108,81,127,129,94,72,78,77,67,94,95,92,91,110
Deceased Donor Transplant,District of Columbia,O,"1,466",120,111,84,86,103,84,49,79,52,67,52,74,56,38,65,50,30,29,32,32,35,35,35,43,37,50
Deceased Donor Transplant,District of Columbia,A,"1,050",68,73,58,77,69,57,43,52,41,26,45,33,29,27,44,51,38,28,25,29,21,39,30,24,33,40
Deceased Donor Transplant,District of Columbia,B,546,51,52,39,25,48,34,21,18,18,21,15,14,19,11,14,22,17,7,14,8,7,12,21,19,15,14
Deceased Donor Transplant,District of Columbia,AB,189,15,10,7,11,2,11,16,3,11,6,8,6,4,5,4,6,9,8,7,8,4,8,9,6,6,6
Deceased Donor Transplant,Florida,All ABO,"17,701","1,290","1,233","1,085",907,892,882,754,674,691,753,751,696,738,706,602,676,577,511,494,549,508,520,503,500,439,456
Deceased Donor Transplant,Florida,O,"8,216",627,574,495,448,442,393,336,323,297,355,369,324,322,352,276,275,282,222,233,249,234,225,253,228,179,226
Deceased Donor Transplant,Florida,A,"6,356",470,430,390,316,297,333,273,240,269,268,253,239,272,239,201,278,185,201,173,204,187,209,177,182,176,157
Deceased Donor Transplant,Florida,B,"2,239",138,144,149,100,117,103,98,82,91,95,96,99,100,83,82,94,77,77,56,70,61,62,47,66,55,57
Deceased Donor Transplant,Florida,AB,891,55,85,51,43,36,53,47,29,34,35,33,34,44,32,43,29,33,11,32,26,26,24,26,24,29,16
Deceased Donor Transplant,Georgia,All ABO,"6,721",451,430,380,304,336,335,288,292,312,293,283,247,233,267,259,228,229,203,204,230,216,200,209,206,154,163
Deceased Donor Transplant,Georgia,O,"3,074",194,183,154,151,152,159,134,119,149,148,128,117,116,117,107,124,104,117,79,97,111,92,104,83,71,81
Deceased Donor Transplant,Georgia,A,"2,281",154,148,135,96,97,100,98,108,102,83,84,82,70,95,95,71,71,61,93,93,80,80,66,86,54,57
Deceased Donor Transplant,Georgia,B,993,64,64,61,45,67,57,43,45,41,50,56,37,43,41,48,24,41,15,25,24,15,16,31,26,22,21
Deceased Donor Transplant,Georgia,AB,373,39,35,30,12,20,19,13,20,20,12,15,11,4,14,9,9,13,10,7,16,10,12,8,11,7,4
Deceased Donor Transplant,Hawaii,All ABO,849,35,36,47,42,39,43,50,34,13,32,38,31,37,30,38,37,24,38,38,32,31,39,22,23,23,10
Deceased Donor Transplant,Hawaii,O,342,8,13,18,15,21,13,25,14,1,11,13,8,11,14,14,24,10,14,25,11,10,15,13,13,11,2
Deceased Donor Transplant,Hawaii,A,324,21,12,17,15,14,10,16,11,9,13,13,20,14,10,13,7,9,18,8,16,17,17,4,10,9,7
Deceased Donor Transplant,Hawaii,B,120,3,7,8,8,3,13,7,5,3,7,7,3,6,6,6,5,2,4,5,3,2,3,4,0,1,0
Deceased Donor Transplant,Hawaii,AB,63,3,4,4,4,1,7,2,4,0,1,5,0,6,0,5,1,3,2,0,2,2,4,1,0,2,1
Deceased Donor Transplant,Illinois,All ABO,"9,553",553,604,525,481,426,314,370,382,334,380,343,394,400,356,412,410,389,371,344,296,338,304,267,299,341,340
Deceased Donor Transplant,Illinois,O,"4,240",258,295,230,219,195,139,158,170,142,170,162,182,177,162,179,178,170,170,147,137,129,120,104,111,169,141
Deceased Donor Transplant,Illinois,A,"3,392",213,184,183,172,137,105,129,135,126,131,111,135,151,118,161,128,141,145,131,100,153,114,100,120,115,123
Deceased Donor Transplant,Illinois,B,"1,406",60,87,83,65,69,52,63,51,44,54,46,56,53,56,50,79,62,41,49,48,42,56,44,48,48,52
Deceased Donor Transplant,Illinois,AB,516,22,38,29,25,25,18,20,26,22,25,24,21,19,20,22,25,16,15,17,11,14,14,19,20,9,24
Deceased Donor Transplant,Indiana,All ABO,"3,995",283,234,185,166,175,179,188,184,211,164,164,140,137,144,119,207,169,173,164,117,103,93,132,100,108,123
Deceased Donor Transplant,Indiana,O,"1,756",117,109,79,61,55,73,75,86,109,81,71,62,53,67,50,74,65,88,81,54,40,45,69,50,52,57
Deceased Donor Transplant,Indiana,A,"1,606",115,85,62,67,92,73,88,67,71,68,59,49,66,53,53,95,76,68,67,40,45,33,48,42,44,54
Deceased Donor Transplant,Indiana,B,443,44,29,34,28,19,20,19,23,17,8,23,19,7,17,12,23,21,12,10,18,13,10,14,7,6,10
Deceased Donor Transplant,Indiana,AB,190,7,11,10,10,9,13,6,8,14,7,11,10,11,7,4,15,7,5,6,5,5,5,1,1,6,2
Deceased Donor Transplant,Iowa,All ABO,"2,622",196,177,175,164,140,126,142,154,101,120,107,78,80,79,78,79,57,69,94,69,78,68,67,76,69,64
Deceased Donor Transplant,Iowa,O,"1,176",86,86,80,86,64,56,51,82,54,53,58,24,40,41,26,27,20,35,44,26,22,19,29,34,34,34
Deceased Donor Transplant,Iowa,A,"1,044",71,70,62,49,58,54,66,53,31,47,35,37,31,24,38,40,31,24,43,26,43,33,29,37,27,22
Deceased Donor Transplant,Iowa,B,299,31,13,26,17,15,14,18,16,11,10,13,12,8,9,9,11,4,8,6,13,10,9,7,5,5,7
Deceased Donor Transplant,Iowa,AB,104,8,8,7,12,3,2,7,3,5,10,1,5,1,5,5,1,2,2,1,4,3,7,2,0,3,1
Deceased Donor Transplant,Kansas,All ABO,"2,120",163,122,87,87,106,106,105,91,87,117,93,119,107,91,74,69,77,63,66,51,55,60,61,58,43,54
Deceased Donor Transplant,Kansas,O,952,73,62,40,34,53,45,42,31,29,60,40,62,52,41,37,36,42,23,25,19,21,24,29,26,21,20
Deceased Donor Transplant,Kansas,A,802,62,40,34,38,38,48,41,41,43,41,36,33,27,38,22,23,28,23,29,21,22,28,21,21,15,25
Deceased Donor Transplant,Kansas,B,283,25,16,9,12,14,12,18,10,13,11,10,19,23,6,11,7,7,13,7,8,8,4,11,11,4,9
Deceased Donor Transplant,Kansas,AB,83,3,4,4,3,1,1,4,9,2,5,7,5,5,6,4,3,0,4,5,3,4,4,0,0,3,0
Deceased Donor Transplant,Kentucky,All ABO,"2,879",156,125,149,138,116,110,109,114,125,113,145,126,99,97,112,111,86,118,113,103,91,91,124,119,115,111
Deceased Donor Transplant,Kentucky,O,"1,265",73,61,66,51,41,53,57,61,52,48,63,60,43,39,40,50,40,57,44,27,41,42,65,57,46,42
Deceased Donor Transplant,Kentucky,A,"1,172",73,42,58,63,54,39,34,32,49,45,65,58,46,32,57,42,31,49,57,54,34,37,48,41,48,47
Deceased Donor Transplant,Kentucky,B,311,6,14,17,16,13,9,17,13,20,14,12,5,4,19,11,12,12,7,6,12,11,9,10,14,18,19
Deceased Donor Transplant,Kentucky,AB,132,4,8,8,8,8,9,1,8,4,6,5,3,6,7,4,7,3,5,6,10,5,3,1,7,3,3
Deceased Donor Transplant,Louisiana,All ABO,"4,479",229,268,179,191,178,197,198,146,166,176,210,197,194,192,194,192,212,191,158,170,156,128,119,137,127,151
Deceased Donor Transplant,Louisiana,O,"2,078",117,133,70,100,81,98,102,53,70,81,85,89,86,82,94,91,93,91,83,100,76,62,43,68,50,72
Deceased Donor Transplant,Louisiana,A,"1,564",62,93,58,56,57,63,61,67,62,63,71,72,76,70,65,76,81,58,59,47,45,46,57,41,58,54
Deceased Donor Transplant,Louisiana,B,604,36,35,34,27,31,26,28,18,25,23,40,22,19,35,20,17,33,29,8,19,23,16,11,15,14,15
Deceased Donor Transplant,Louisiana,AB,233,14,7,17,8,9,10,7,8,9,9,14,14,13,5,15,8,5,13,8,4,12,4,8,13,5,10
Deceased Donor Transplant,Maine,All ABO,632,11,20,16,24,14,17,28,19,27,19,21,34,20,33,42,31,32,33,28,44,31,33,37,14,16,21
Deceased Donor Transplant,Maine,O,273,5,12,6,9,4,6,14,9,16,10,10,14,10,16,13,13,17,17,9,15,10,12,20,5,3,9
Deceased Donor Transplant,Maine,A,269,5,4,7,11,6,10,12,9,7,6,7,17,8,11,18,14,10,10,13,25,17,18,14,6,9,11
Deceased Donor Transplant,Maine,B,60,0,3,2,1,4,1,2,1,4,2,2,2,1,5,7,3,4,4,4,1,3,2,0,2,1,1
Deceased Donor Transplant,Maine,AB,30,1,1,1,3,0,0,0,0,0,1,2,1,1,1,4,1,1,2,2,3,1,1,3,1,3,0
Deceased Donor Transplant,Maryland,All ABO,"6,531",257,278,311,313,298,346,331,298,312,308,266,333,235,273,242,208,198,179,252,331,344,265,185,145,175,155
